"name","id","country","league","player_handedness"
"R.PETERSON","WTA317771","SWE","wta","right-handed"
"R.ZARAZUA","31392","MEX","wta","right-handed"
"S.CIRSTEA","14440","ROU","wta","right-handed"
"S.CIRSTEA","WTA312469","ROU","wta","right-handed"
"S.ERRANI","WTA310761","ITA","wta","right-handed"
"S.HALEP","18033","ROU","wta","right-handed"
"S.HALEP","WTA314320","ROU","wta","right-handed"
"S.HSIEH","WTA310053","TPE","wta","right-handed"
"S.KENIN","35854","USA","wta","right-handed"
"S.KENIN","WTA320942","USA","wta","right-handed"
"S.KUZNETSOVA","WTA110552","RUS","wta","right-handed"
