year,player1,player2,player1_id,player1_country,player1_seed,player2_id,player2_country,player2_seed,court_name,court_id,num_sets_completed,match_type,match_status,match_id,tournament,league
2020,E.BENCHETRIT,J.ISNER,36744,FRA,,15820,USA,21,Court 7,9,3,Men's Singles,C,atp_roland_garros_2020SM123,roland_garros,atp
2020,R.BAUTISTA AGUT,P.CARRENO BUSTA,13354,ESP,10,21578,ESP,17,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2020SM018,roland_garros,atp
2020,S.KORDA,R.NADAL,40824,USA,,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM015,roland_garros,atp
2020,A.RUBLEV,S.TSITSIPAS,31132,RUS,13,35398,GRE,5,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM005,roland_garros,atp
2020,N.DJOKOVIC,K.KHACHANOV,9801,SRB,1,29528,RUS,15,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM008,roland_garros,atp
2020,B.CORIC,N.GOMBOS,29171,CRO,24,22505,SVK,,Court 7,9,4,Men's Singles,C,atp_roland_garros_2020SM100,roland_garros,atp
2020,A.ZVEREV,PH.HERBERT,30350,GER,6,21623,FRA,,Court Philippe CHATRIER,1,5,Men's Singles,C,atp_roland_garros_2020SM056,roland_garros,atp
2020,A.ZVEREV,M.CECCHINATO,30350,GER,6,24584,ITA,,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2020SM028,roland_garros,atp
2020,D.MEDVEDEV,M.FUCSOVICS,28836,RUS,4,22454,HUN,,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2020SM080,roland_garros,atp
2020,N.DJOKOVIC,P.CARRENO BUSTA,9801,SRB,1,21578,ESP,17,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2020SM004,roland_garros,atp
2020,P.CARRENO BUSTA,D.ALTMAIER,21578,ESP,17,33851,GER,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM009,roland_garros,atp
2020,D.ALTMAIER,M.BERRETTINI,33851,GER,,29046,ITA,7,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM019,roland_garros,atp
2020,A.ZVEREV,J.SINNER,30350,GER,6,39723,ITA,,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2020SM014,roland_garros,atp
2020,M.CILIC,D.THIEM,11674,CRO,,26348,AUT,3,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM111,roland_garros,atp
2020,P.CUEVAS,S.TSITSIPAS,9767,URU,,35398,GRE,5,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM047,roland_garros,atp
2020,J.RODIONOV,J.CHARDY,36384,AUT,,11493,FRA,,Court Suzanne LENGLEN,2,5,Men's Singles,C,atp_roland_garros_2020SM101,roland_garros,atp
2020,L.HARRIS,M.BERRETTINI,33462,RSA,,29046,ITA,7,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2020SM039,roland_garros,atp
2020,A.ZVEREV,D.NOVAK,30350,GER,6,26311,AUT,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM112,roland_garros,atp
2020,C.RUUD,D.THIEM,36389,NOR,28,26348,AUT,3,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM027,roland_garros,atp
2020,D.SHAPOVALOV,R.CARBALLES BAENA,35246,CAN,9,26219,ESP,,Court Suzanne LENGLEN,2,5,Men's Singles,C,atp_roland_garros_2020SM044,roland_garros,atp
2020,V.POSPISIL,M.BERRETTINI,19319,CAN,,29046,ITA,7,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2020SM079,roland_garros,atp
2020,J.SINNER,R.NADAL,39723,ITA,,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM007,roland_garros,atp
2020,N.DJOKOVIC,M.YMER,9801,SRB,1,33597,SWE,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM064,roland_garros,atp
2020,G.DIMITROV,S.TSITSIPAS,19689,BUL,18,35398,GRE,5,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM011,roland_garros,atp
2020,N.DJOKOVIC,R.NADAL,9801,SRB,1,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM001,roland_garros,atp
2020,S.TRAVAGLIA,R.NADAL,21066,ITA,,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM031,roland_garros,atp
2020,S.WAWRINKA,D.KOEPFER,7815,SUI,16,32094,GER,,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2020SM052,roland_garros,atp
2020,S.WAWRINKA,A.MURRAY,7815,SUI,16,10216,GBR,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM104,roland_garros,atp
2020,J.SINNER,D.GOFFIN,39723,ITA,,19706,BEL,11,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM119,roland_garros,atp
2020,N.DJOKOVIC,R.BERANKIS,9801,SRB,1,17510,LTU,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM032,roland_garros,atp
2020,N.DJOKOVIC,S.TSITSIPAS,9801,SRB,1,35398,GRE,5,Court Philippe CHATRIER,1,5,Men's Singles,C,atp_roland_garros_2020SM002,roland_garros,atp
2020,E.GERASIMOV,R.NADAL,24788,BLR,,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM127,roland_garros,atp
2020,L.SONEGO,D.SCHWARTZMAN,35289,ITA,,24162,ARG,12,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2020SM012,roland_garros,atp
2020,A. Mannarino,D. Thiem,ATPME82,FRA,,ATPTB69,AUT,5,Margaret Court Arena,2,3,Men's Singles,C,atp_australian_open_2020MS116,australian_open,atp
2020,M. Fucsovics,R. Federer,ATPF724,HUN,,ATPF324,SUI,3,Rod Laver Arena,1,4,Men's Singles,C,atp_australian_open_2020MS406,australian_open,atp
