point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
2_3_2_2,2,3,2,2,WTA311470,WTA317708,WTA317708,AdCourt,124 KPH,Pronated,NA,11.493,-1.631,2.715,4,Winner,NA,False,Ground,ForeHand,1.38 Metre,Cross Court,NA,False,False,True,-6.39,2.306,0.032,Body,,,,-12.002,4.803,1.148,5.485,-3.513,0.033,-11.95,3.834,0.945,0.0,0.86,2.054,9.842,-1.347,0.034,2602.5,0,0,0,0,0,0,0,1
2_3_3_1,2,3,3,1,WTA311470,WTA317708,WTA311470,DeuceCourt,151 KPH,Pronated,NA,11.375,0.988,2.71,5,Winner,NA,False,Ground,ForeHand,1.3 Metre,Down the Line,NA,False,False,True,-4.681,-1.331,0.03,T,,,,10.676,-3.499,1.409,-8.741,-3.501,0.032,-12.644,-2.203,1.139,0.0,-1.303,1.282,6.515,-0.697,0.03,1568.34,0,0,0,0,0,0,0,2
NA,2,3,4,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,2
2_3_4_2,2,3,4,2,WTA311470,WTA317708,WTA317708,AdCourt,124 KPH,NA,NA,,,,0,DoubleFault,NA,False,Ground,BackHand,1.38 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,2602.5,1,1,0,0,0,0,1,2
2_3_5_1,2,3,5,1,WTA311470,WTA317708,WTA311470,DeuceCourt,147 KPH,Flat,NA,11.452,1.258,2.73,1,Forced Error,NA,False,NA,BackHand,1.72 Metre,NA,NA,True,False,True,-4.552,-2.695,0.03,Body,,,,-12.151,-4.736,1.138,,,,,,,,,,,,,1294.8,0,0,0,0,1,0,1,3
NA,2,3,6,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,3
2_3_6_2,2,3,6,2,WTA311470,WTA317708,WTA311470,AdCourt,128 KPH,Pronated,NA,11.412,-1.717,2.726,11,Winner,NA,False,Ground,ForeHand,1.47 Metre,Down the Line,NA,True,False,True,-4.315,2.328,0.032,Body,,,,12.867,-4.125,1.145,-10.378,-3.82,0.034,-11.573,4.626,1.176,-0.0,0.923,1.155,7.115,-1.273,0.033,963.66,0,0,0,0,0,0,2,3
NA,2,3,7,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,3
2_3_7_2,2,3,7,2,WTA311470,WTA317708,WTA311470,DeuceCourt,124 KPH,NA,NA,11.526,0.72,2.738,7,Unforced Error,NA,False,Ground,BackHand,1.15 Metre,NA,Wide Error,False,False,True,-4.392,-0.424,0.029,T,,,,-12.718,-2.26,0.914,8.772,-4.797,0.035,-12.616,-0.396,1.089,0.0,1.397,1.895,9.507,2.821,0.036,1755.66,0,0,0,0,0,0,3,3
2_3_8_1,2,3,8,1,WTA311470,WTA317708,WTA317708,AdCourt,133 KPH,Pronated,NA,11.565,-1.677,2.71,8,Winner,NA,False,Ground,ForeHand,1.11 Metre,Cross Court,NA,False,False,True,-6.238,3.037,0.034,Wide,,,,-11.301,2.11,1.044,7.788,-2.585,0.033,-12.145,4.969,1.127,-0.0,3.013,1.798,11.686,1.438,0.033,2045.58,0,0,0,0,0,0,4,3
NA,2,3,9,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,4,4
2_3_9_2,2,3,9,2,WTA311470,WTA317708,WTA317708,DeuceCourt,123 KPH,Pronated,NA,11.676,0.73,2.703,4,Forced Error,NA,True,Ground,ForeHand,0.53 Metre,NA,NA,False,False,True,-5.186,-2.282,0.031,Body,,,,6.953,-1.326,1.097,0.808,0.663,0.032,-11.852,-3.313,1.138,-0.0,0.052,1.089,6.802,2.042,0.034,1531.86,0,0,0,0,0,0,4,4
